generator,quality_score,route_category
template_v1,0.6625,App Crash / UX Bug
template_v1,0.5874999999999999,Refund & Payment Issues
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,App Crash / UX Bug
template_v1,0.73,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.5714285714285714,Refund & Payment Issues
template_v1,0.7749999999999999,App Crash / UX Bug
template_v1,0.55,App Crash / UX Bug
template_v1,0.5764705882352941,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.6271428571428572,App Crash / UX Bug
template_v1,0.73,App Crash / UX Bug
template_v1,0.6029411764705882,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.64,App Crash / UX Bug
template_v1,0.5640624999999999,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5891304347826087,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.73,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.7749999999999999,App Crash / UX Bug
template_v1,0.64,App Crash / UX Bug
template_v1,0.6,Delivery Failure
template_v1,0.5941176470588235,Refund & Payment Issues
template_v1,0.625,Refund & Payment Issues
template_v1,0.6,Fake/Counterfeit Product
template_v1,0.5982142857142857,Refund & Payment Issues
template_v1,0.625,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.7,App Crash / UX Bug
template_v1,0.5935483870967742,Refund & Payment Issues
template_v1,0.5673076923076923,Refund & Payment Issues
template_v1,0.64,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5721311475409836,Refund & Payment Issues
template_v1,0.55,App Crash / UX Bug
template_v1,0.64,App Crash / UX Bug
template_v1,0.6,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.6785714285714286,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.7749999999999999,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.7,App Crash / UX Bug
template_v1,0.7,App Crash / UX Bug
template_v1,0.6,Refund & Payment Issues
template_v1,0.5909090909090908,App Crash / UX Bug
template_v1,0.6203125,Refund & Payment Issues
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.5625,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Refund & Payment Issues
template_v1,0.5800000000000001,Refund & Payment Issues
template_v1,0.5921875,Refund & Payment Issues
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6625,Refund & Payment Issues
template_v1,0.7,Delivery Failure
template_v1,0.5800000000000001,Refund & Payment Issues
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.7,App Crash / UX Bug
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.60625,App Crash / UX Bug
template_v1,0.5867346938775511,Fake/Counterfeit Product
template_v1,0.6029411764705882,Refund & Payment Issues
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Refund & Payment Issues
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5725,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5821428571428571,Refund & Payment Issues
template_v1,0.6499999999999999,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5935483870967742,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.64,App Crash / UX Bug
template_v1,0.6174999999999999,App Crash / UX Bug
template_v1,0.6,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.625,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.55,App Crash / UX Bug
template_v1,0.5921875,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6785714285714286,App Crash / UX Bug
template_v1,0.6,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,App Crash / UX Bug
template_v1,0.6142857142857143,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5615384615384615,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6727272727272727,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6318181818181818,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6142857142857143,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6625,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5857142857142856,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.55,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.7749999999999999,App Crash / UX Bug
template_v1,0.60625,Refund & Payment Issues
template_v1,0.6625,App Crash / UX Bug
template_v1,0.7,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.575,Refund & Payment Issues
template_v1,0.7749999999999999,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.64,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.7,Fake/Counterfeit Product
template_v1,0.7749999999999999,App Crash / UX Bug
template_v1,0.7749999999999999,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.73,App Crash / UX Bug
template_v1,0.595,Fake/Counterfeit Product
template_v1,0.5793478260869565,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.5732758620689655,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.64,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.64,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.6785714285714286,App Crash / UX Bug
template_v1,0.5772727272727273,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.60625,Fake/Counterfeit Product
template_v1,0.625,App Crash / UX Bug
template_v1,0.6499999999999999,App Crash / UX Bug
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6625,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.595,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.55,App Crash / UX Bug
template_v1,0.59375,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.6625,App Crash / UX Bug
template_v1,0.6142857142857143,App Crash / UX Bug
template_v1,0.55,App Crash / UX Bug
template_v1,0.7749999999999999,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.6727272727272727,App Crash / UX Bug
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Refund & Payment Issues
template_v1,0.60625,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.55,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5680000000000001,Fake/Counterfeit Product
template_v1,0.6142857142857143,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.60625,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.578125,Delivery Failure
template_v1,0.595,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.60625,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.64,App Crash / UX Bug
template_v1,0.5821428571428571,Refund & Payment Issues
template_v1,0.5764705882352941,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.64,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6113636363636363,App Crash / UX Bug
template_v1,0.55,App Crash / UX Bug
template_v1,0.5901785714285714,Refund & Payment Issues
template_v1,0.55,App Crash / UX Bug
template_v1,0.6142857142857143,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.7,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.60625,App Crash / UX Bug
template_v1,0.7749999999999999,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5970149253731343,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.578125,App Crash / UX Bug
template_v1,0.5909090909090908,Refund & Payment Issues
template_v1,0.64,App Crash / UX Bug
template_v1,0.6625,Fake/Counterfeit Product
template_v1,0.6625,App Crash / UX Bug
template_v1,0.64,App Crash / UX Bug
template_v1,0.6192307692307693,Refund & Payment Issues
template_v1,0.7,App Crash / UX Bug
template_v1,0.7,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.7749999999999999,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6727272727272727,App Crash / UX Bug
template_v1,0.55,Refund & Payment Issues
template_v1,0.73,App Crash / UX Bug
template_v1,0.5867346938775511,App Crash / UX Bug
template_v1,0.55,Refund & Payment Issues
template_v1,0.625,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5800000000000001,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Refund & Payment Issues
template_v1,0.5795081967213115,Refund & Payment Issues
template_v1,0.7,Delivery Failure
template_v1,0.6,App Crash / UX Bug
template_v1,0.5725,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.64,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Refund & Payment Issues
template_v1,0.5736842105263158,Refund & Payment Issues
template_v1,0.622,App Crash / UX Bug
template_v1,0.6,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.6,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.7,Delivery Failure
template_v1,0.5909090909090908,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.6,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,App Crash / UX Bug
template_v1,0.5897058823529412,Refund & Payment Issues
template_v1,0.7,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.625,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.5673076923076923,Fake/Counterfeit Product
template_v1,0.6625,App Crash / UX Bug
template_v1,0.61,Refund & Payment Issues
template_v1,0.7,App Crash / UX Bug
template_v1,0.5745454545454545,Fake/Counterfeit Product
template_v1,0.5909090909090908,Refund & Payment Issues
template_v1,0.559375,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.6625,Refund & Payment Issues
template_v1,0.6625,Fake/Counterfeit Product
template_v1,0.622,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.575,Refund & Payment Issues
template_v1,0.6210526315789473,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5846153846153845,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.6625,App Crash / UX Bug
template_v1,0.6785714285714286,Delivery Failure
template_v1,0.6120689655172413,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5909090909090908,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v2,0.5772727272727273,Refund & Payment Issues
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.578125,Refund & Payment Issues
template_v2,0.6282608695652174,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5882978723404255,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.625,Delivery Failure
template_v2,0.625,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.55,Delivery Failure
template_v2,0.6142857142857143,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.55,Delivery Failure
template_v2,0.8500000000000001,Fake/Counterfeit Product
template_v2,0.5714285714285714,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.64,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.73,App Crash / UX Bug
template_v2,0.5909090909090908,Refund & Payment Issues
template_v2,0.64,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.60625,Refund & Payment Issues
template_v2,0.5666666666666667,Refund & Payment Issues
template_v2,0.6,Delivery Failure
template_v2,0.595,Refund & Payment Issues
template_v2,0.55,Refund & Payment Issues
template_v2,0.622,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5982142857142857,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.5673076923076923,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.7,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.55,Delivery Failure
template_v2,0.7,App Crash / UX Bug
template_v2,0.5704545454545454,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.6625,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.6499999999999999,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.597872340425532,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.7749999999999999,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,App Crash / UX Bug
template_v2,0.595,Fake/Counterfeit Product
template_v2,0.7,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.5846153846153845,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.6625,App Crash / UX Bug
template_v2,0.5874999999999999,Refund & Payment Issues
template_v2,0.5909090909090908,App Crash / UX Bug
template_v2,0.55,App Crash / UX Bug
template_v2,0.73,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.5928571428571429,Refund & Payment Issues
template_v2,0.7749999999999999,App Crash / UX Bug
template_v2,0.7,App Crash / UX Bug
template_v2,0.6029411764705882,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,App Crash / UX Bug
template_v2,0.6014285714285714,App Crash / UX Bug
template_v2,0.73,App Crash / UX Bug
template_v2,0.6029411764705882,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.64,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5891304347826087,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.73,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.7749999999999999,App Crash / UX Bug
template_v2,0.64,App Crash / UX Bug
template_v2,0.6499999999999999,Delivery Failure
template_v2,0.5852941176470587,Refund & Payment Issues
template_v2,0.55,Refund & Payment Issues
template_v2,0.575,Fake/Counterfeit Product
template_v2,0.5821428571428571,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.7,App Crash / UX Bug
template_v2,0.5790322580645162,Refund & Payment Issues
template_v2,0.5673076923076923,Refund & Payment Issues
template_v2,0.64,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5721311475409836,Refund & Payment Issues
template_v2,0.55,App Crash / UX Bug
template_v2,0.64,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.6785714285714286,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.7749999999999999,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.7,App Crash / UX Bug
template_v2,0.7,App Crash / UX Bug
template_v2,0.55,Refund & Payment Issues
template_v2,0.5909090909090908,App Crash / UX Bug
template_v2,0.578125,Refund & Payment Issues
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,App Crash / UX Bug
template_v2,0.5625,Fake/Counterfeit Product
template_v2,0.595,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Refund & Payment Issues
template_v2,0.61,Refund & Payment Issues
template_v2,0.578125,Refund & Payment Issues
template_v2,0.6,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.6343749999999999,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.5800000000000001,Refund & Payment Issues
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.7,App Crash / UX Bug
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.6625,App Crash / UX Bug
template_v2,0.5591836734693878,Fake/Counterfeit Product
template_v2,0.5764705882352941,Refund & Payment Issues
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5909090909090908,Refund & Payment Issues
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.56125,Fake/Counterfeit Product
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5821428571428571,Refund & Payment Issues
template_v2,0.7,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5935483870967742,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.73,App Crash / UX Bug
template_v2,0.6174999999999999,App Crash / UX Bug
template_v2,0.6,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,App Crash / UX Bug
template_v2,0.625,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.55,App Crash / UX Bug
template_v2,0.5921875,App Crash / UX Bug
template_v2,0.64,Fake/Counterfeit Product
template_v2,0.6785714285714286,App Crash / UX Bug
template_v2,0.55,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.55,App Crash / UX Bug
template_v2,0.6142857142857143,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5615384615384615,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5909090909090908,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.6215909090909091,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.6625,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5857142857142856,Refund & Payment Issues
template_v2,0.64,Delivery Failure
template_v2,0.55,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.7749999999999999,App Crash / UX Bug
template_v2,0.60625,Refund & Payment Issues
template_v2,0.71875,App Crash / UX Bug
template_v2,0.7,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.625,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.595,Fake/Counterfeit Product
template_v2,0.6,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.7,Fake/Counterfeit Product
template_v2,0.7749999999999999,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.8200000000000001,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.5695652173913044,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.5810344827586207,Refund & Payment Issues
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.64,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.64,App Crash / UX Bug
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.64,App Crash / UX Bug
template_v2,0.6785714285714286,App Crash / UX Bug
template_v2,0.6318181818181818,Refund & Payment Issues
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.625,App Crash / UX Bug
template_v2,0.6,App Crash / UX Bug
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,Delivery Failure
template_v2,0.60625,Delivery Failure
template_v2,0.55,Delivery Failure
template_v2,0.55,Fake/Counterfeit Product
template_v2,0.55,App Crash / UX Bug
template_v2,0.55,Refund & Payment Issues
template_v2,0.55,Delivery Failure
